0. book(49, 80);
169. book(55, 83);
170. book(63, 70);
171. book(93, 16);
172. book(25, 97);
173. book(40, 22);
174. book(92, 6);
175. book(32, 54);
176. book(55, 60);
177. book(49, 90);
178. book(17, 27);
179. book(9, 84);
180. book(11, 17);
181. book(3, 23);
182. book(49, 90);
183. book(92, 49);
184. book(54, 35);
185. book(99, 85);
186. book(87, 13);
187. book(38, 90);
188. book(30, 73);
189. book(37, 98);
190. book(47, 96);
191. book(89, 25);
192. book(75, 5);
193. book(64, 35);
194. book(32, 45);
195. book(65, 89);
196. book(24, 59);
197. book(83, 66);
198. book(80, 100);
199. book(62, 87);
200. book(99, 66);
201. book(98, 77);
202. book(67, 72);
203. book(2, 78);
204. book(46, 50);
205. book(65, 63);
206. book(36, 31);
207. book(89, 27);
208. book(85, 26);
209. book(41, 67);
210. book(58, 31);
211. book(37, 14);
212. book(80, 25);
213. book(85, 87);
214. book(20, 53);
215. book(56, 11);
216. book(38, 54);
217. book(30, 5);
218. book(97, 25);
219. book(35, 98);
220. book(7, 8);
221. book(90, 31);
222. book(93, 50);
223. book(50, 23);
224. book(32, 57);
225. book(83, 74);
226. book(5, 41);
227. book(48, 87);
228. book(67, 9);
229. book(10, 78);
230. book(87, 44);
231. book(37, 93);
232. book(2, 88);
233. book(16, 65);
234. book(80, 58);
235. book(44, 24);
236. book(77, 70);
237. book(43, 73);
238. book(49, 90);
239. book(25, 19);
240. book(22, 24);
241. book(88, 26);
242. book(53, 16);
243. book(46, 35);
244. book(53, 73);
245. book(42, 1);
246. book(10, 0);
247. book(30, 70);
248. book(94, 87);
249. book(89, 97);
250. book(16, 81);
251. book(30, 23);
252. book(2, 57);
253. book(51, 31);
254. book(32, 90);
255. book(14, 18);
256. book(63, 68);
257. book(75, 80);
258. book(47, 9);
259. book(80, 2);
260. book(39, 14);
261. book(69, 40);
262. book(73, 99);
263. book(61, 38);
264. book(10, 36);
265. book(29, 86);
266. book(39, 57);
267. book(38, 95);
268. book(80, 53);
269. book(56, 41);
270. book(45, 35);
271. book(91, 44);
272. book(85, 8);
273. book(75, 12);
274. book(20, 15);
275. book(61, 1);
276. book(72, 99);
277. book(44, 67);
278. book(27, 69);
279. book(47, 26);
280. book(78, 82);
281. book(97, 99);
282. book(35, 43);
283. book(21, 34);
284. book(28, 46);
285. book(98, 90);
286. book(65, 15);
287. book(34, 44);
288. book(20, 5);
289. book(13, 69);
290. book(87, 38);
291. book(46, 42);
292. book(100, 82);
293. book(65, 3);
294. book(93, 44);
295. book(80, 91);
296. book(12, 39);
297. book(14, 74);
298. book(11, 43);
299. book(98, 38);
300. book(59, 79);
301. book(28, 19);
302. book(53, 63);
303. book(59, 60);
304. book(42, 5);
305. book(25, 87);
306. book(0, 14);
307. book(10, 45);
308. book(2, 86);
309. book(58, 62);
310. book(50, 35);
311. book(19, 71);
312. book(26, 18);
313. book(63, 51);
314. book(49, 71);
315. book(60, 77);
316. book(66, 86);
317. book(42, 21);
318. book(31, 76);
319. book(87, 86);
320. book(77, 15);
321. book(2, 77);
322. book(47, 73);
323. book(11, 95);
324. book(62, 86);
325. book(18, 39);
326. book(45, 41);
327. book(3, 58);
328. book(43, 97);
329. book(2, 85);
330. book(0, 63);
331. book(80, 36);
332. book(35, 56);
333. book(100, 11);
334. book(27, 68);
335. book(49, 91);
336. book(33, 75);
337. book(51, 94);
338. book(64, 67);
339. book(10, 91);
340. book(54, 85);
341. book(10, 64);
342. book(59, 39);
343. book(66, 28);
344. book(48, 41);
345. book(64, 60);
346. book(2, 4);
347. book(43, 12);
348. book(76, 41);
349. book(64, 93);
350. book(87, 51);
351. book(19, 51);
352. book(47, 3);
353. book(59, 75);
354. book(10, 10);
355. book(24, 39);
356. book(36, 100);
357. book(1, 81);
358. book(84, 100);
359. book(66, 80);
360. book(67, 98);
361. book(74, 48);
362. book(55, 62);
363. book(94, 66);
364. book(29, 72);
365. book(30, 7);
366. book(11, 75);
367. book(89, 66);
368. book(99, 97);
369. book(98, 61);
370. book(55, 89);
371. book(13, 82);
372. book(89, 14);
373. book(47, 86);
374. book(93, 34);
375. book(63, 33);
376. book(66, 48);
377. book(34, 69);
378. book(17, 81);
379. book(53, 18);
380. book(0, 61);
381. book(52, 16);
382. book(65, 37);
383. book(69, 18);
384. book(61, 41);
385. book(95, 57);
386. book(90, 3);
387. book(11, 15);
388. book(86, 10);
389. book(2, 50);
390. book(39, 81);
391. book(83, 73);
392. book(28, 100);
393. book(19, 94);
394. book(78, 96);
395. book(70, 64);
396. book(22, 18);
397. book(23, 30);
398. book(76, 14);
399. book(79, 31);
400. book(66, 27);
401. book(12, 41);
402. book(65, 83);
403. book(22, 0);
404. book(64, 7);
405. book(71, 24);
406. book(7, 75);
407. book(51, 8);
408. book(9, 76);
409. book(80, 17);
410. book(66, 85);
411. book(46, 0);
412. book(58, 60);
413. book(29, 82);
414. book(5, 62);
415. book(26, 91);
416. book(3, 92);
417. book(19, 36);
418. book(78, 83);
419. book(67, 63);
420. book(23, 1);
421. book(87, 19);
422. book(7, 43);
423. book(46, 45);
424. book(24, 58);
425. book(1, 3);
426. book(76, 69);
427. book(2, 38);
428. book(15, 78);
429. book(68, 83);
430. book(45, 44);
431. book(89, 27);
432. book(50, 6);
433. book(28, 83);
434. book(25, 20);
435. book(49, 25);
436. book(39, 36);
437. book(8, 60);
438. book(20, 24);
439. book(97, 4);
440. book(98, 93);
441. book(30, 48);
442. book(65, 28);
443. book(5, 60);
444. book(49, 17);
445. book(54, 28);
446. book(16, 1);
447. book(7, 22);
448. book(92, 32);
449. book(15, 49);
450. book(11, 86);
451. book(28, 41);
452. book(73, 16);
453. book(0, 8);
454. book(15, 23);
455. book(34, 37);
456. book(95, 75);
457. book(27, 5);
458. book(58, 4);
459. book(78, 2);
460. book(64, 18);
461. book(73, 94);
462. book(24, 85);
463. book(19, 65);
464. book(12, 84);
465. book(85, 75);
466. book(92, 3);
467. book(85, 52);
468. book(96, 34);
469. book(73, 13);
470. book(10, 66);
471. book(13, 57);
472. book(24, 8);
473. book(94, 48);
474. book(89, 37);
475. book(100, 53);
476. book(17, 97);
477. book(93, 99);
478. book(60, 49);
479. book(50, 29);
480. book(22, 41);
481. book(58, 32);
482. book(73, 73);
483. book(37, 23);
484. book(76, 51);
485. book(18, 76);
486. book(45, 36);
487. book(70, 76);
488. book(42, 80);
489. book(69, 55);
490. book(99, 72);
491. book(32, 47);
492. book(96, 94);
493. book(36, 76);
494. book(43, 47);
495. book(55, 59);
496. book(24, 42);
497. book(28, 78);
498. book(41, 32);
499. book(95, 36);
500. book(42, 43);
501. book(27, 22);
502. book(45, 76);
503. book(74, 53);
504. book(88, 24);
505. book(42, 70);
506. book(63, 39);
507. book(30, 97);
508. book(41, 25);
509. book(95, 17);
510. book(32, 35);
511. book(58, 66);
512. book(46, 21);
513. book(4, 77);
514. book(54, 61);
515. book(3, 57);
516. book(57, 84);
517. book(46, 7);
518. book(3, 51);
519. book(19, 92);
520. book(85, 20);
521. book(82, 71);
522. book(2, 75);
523. book(96, 60);
524. book(60, 85);
525. book(30, 12);
526. book(5, 11);
527. book(15, 22);
528. book(99, 96);
529. book(70, 70);
530. book(71, 77);
531. book(19, 52);
532. book(83, 21);
533. book(68, 81);
534. book(93, 99);
535. book(16, 86);
536. book(49, 37);
537. book(30, 54);
538. book(55, 21);
539. book(84, 99);
540. book(90, 91);
541. book(10, 81);
542. book(30, 28);
543. book(75, 85);
544. book(32, 15);
545. book(5, 0);
546. book(32, 21);
547. book(54, 49);
548. book(78, 51);
549. book(44, 11);
550. book(60, 4);
551. book(86, 40);
552. book(45, 51);
553. book(100, 46);
554. book(25, 45);
555. book(23, 16);
556. book(74, 56);
557. book(16, 37);
558. book(95, 77);
559. book(43, 26);
560. book(45, 64);
561. book(91, 14);
562. book(41, 77);
563. book(48, 40);
564. book(48, 43);
565. book(29, 91);
566. book(53, 74);
567. book(98, 20);
568. book(72, 97);
569. book(20, 34);
570. book(62, 54);
571. book(6, 90);
572. book(61, 21);
573. book(97, 0);
574. book(8, 60);
575. book(29, 53);
576. book(18, 34);
577. book(57, 85);
578. book(16, 22);
579. book(41, 66);
580. book(57, 83);
581. book(2, 13);
582. book(62, 57);
583. book(80, 20);
584. book(51, 74);
585. book(16, 48);
586. book(55, 17);
587. book(23, 21);
588. book(79, 9);
589. book(3, 66);
590. book(85, 80);
591. book(85, 84);
592. book(89, 21);
593. book(18, 7);
594. book(51, 71);
595. book(18, 16);
596. book(23, 61);
597. book(58, 56);
598. book(16, 6);
599. book(70, 54);
600. book(38, 25);
601. book(92, 79);
602. book(11, 56);
603. book(40, 38);
604. book(8, 24);
605. book(56, 37);
606. book(13, 15);
607. book(5, 79);
608. book(7, 58);
609. book(86, 31);
610. book(79, 51);
611. book(54, 79);
612. book(80, 80);
613. book(75, 61);
614. book(4, 80);
615. book(92, 83);
616. book(31, 23);
617. book(45, 91);
618. book(28, 43);
619. book(30, 74);
620. book(49, 31);
621. book(2, 16);
622. book(84, 62);
623. book(57, 75);
624. book(81, 2);
625. book(24, 98);
626. book(48, 58);
627. book(7, 67);
628. book(87, 52);
629. book(33, 39);
630. book(63, 24);
631. book(8, 82);
632. book(75, 62);
633. book(30, 12);
634. book(17, 8);
635. book(74, 35);
636. book(35, 0);
637. book(53, 14);
638. book(62, 55);
639. book(58, 85);
640. book(38, 48);
641. book(38, 64);
642. book(49, 50);
643. book(22, 77);
644. book(83, 57);
645. book(70, 94);
646. book(1, 65);
647. book(41, 26);
648. book(17, 0);
649. book(44, 80);
650. book(19, 77);
651. book(3, 90);
652. book(78, 92);
653. book(67, 37);
654. book(98, 43);
655. book(32, 19);
656. book(30, 90);
657. book(41, 99);
658. book(77, 9);
659. book(31, 57);
660. book(53, 96);
661. book(23, 6);
662. book(28, 53);
663. book(99, 68);
664. book(58, 76);
665. book(58, 0);
666. book(59, 60);
667. book(86, 46);
668. book(14, 33);
669. book(98, 20);
670. book(98, 11);
671. book(25, 11);
672. book(69, 78);
673. book(43, 50);
674. book(20, 20);
675. book(34, 7);
676. book(13, 67);
677. book(82, 81);
678. book(42, 45);
679. book(43, 14);
680. book(22, 24);
681. book(82, 94);
682. book(91, 91);
683. book(68, 94);
684. book(81, 54);
685. book(20, 75);
686. book(14, 8);
687. book(65, 36);
688. book(6, 32);
689. book(92, 93);
690. book(100, 74);
691. book(38, 86);
692. book(70, 9);
693. book(0, 82);
694. book(55, 17);
695. book(18, 29);
696. book(35, 53);
697. book(31, 11);
698. book(32, 96);
699. book(5, 97);
700. book(35, 90);
701. book(90, 23);
702. book(23, 9);
703. book(13, 16);
704. book(22, 76);
705. book(10, 6);
706. book(65, 3);
707. book(13, 63);
708. book(94, 75);
709. book(60, 18);
710. book(48, 99);
711. book(14, 35);
712. book(90, 59);
713. book(14, 56);
714. book(80, 99);
715. book(13, 10);
716. book(33, 17);
717. book(40, 12);
718. book(13, 89);
719. book(56, 15);
720. book(39, 6);
721. book(59, 31);
722. book(90, 33);
723. book(77, 54);
724. book(33, 43);
725. book(49, 89);
726. book(52, 71);
727. book(56, 31);
728. book(47, 36);
729. book(70, 13);
730. book(26, 62);
731. book(74, 98);
732. book(8, 92);
733. book(69, 98);
734. book(83, 81);
735. book(40, 64);
736. book(78, 73);
737. book(29, 78);
738. book(59, 68);
739. book(86, 21);
740. book(36, 66);
741. book(15, 89);
742. book(1, 57);
743. book(34, 63);
744. book(66, 65);
745. book(89, 92);
746. book(23, 32);
747. book(99, 14);
748. book(22, 39);
749. book(66, 99);
750. book(93, 74);
751. book(88, 58);
752. book(2, 78);
753. book(19, 5);
754. book(17, 39);
755. book(60, 18);
756. book(36, 7);
757. book(47, 3);
758. book(5, 33);
759. book(71, 70);
760. book(85, 5);
761. book(48, 72);
762. book(12, 52);
763. book(1, 34);
764. book(39, 95);
765. book(16, 57);
766. book(86, 33);
767. book(43, 42);
768. book(27, 64);
769. book(76, 39);
770. book(35, 23);
771. book(63, 16);
772. book(22, 46);
773. book(8, 14);
774. book(9, 79);
775. book(6, 40);
776. book(66, 82);
777. book(45, 85);
778. book(87, 21);
779. book(82, 82);
780. book(63, 6);
781. book(70, 76);
782. book(69, 35);
783. book(24, 24);
784. book(78, 23);
785. book(80, 39);
786. book(54, 76);
787. book(56, 99);
788. book(94, 9);
789. book(62, 64);
790. book(3, 93);
791. book(69, 40);
792. book(65, 97);
793. book(74, 47);
794. book(16, 38);
795. book(61, 50);
796. book(38, 61);
797. book(21, 68);
798. book(11, 18);
799. book(0, 42);
800. book(8, 63);
801. book(62, 32);
802. book(17, 25);
803. book(96, 5);
804. book(62, 74);
805. book(63, 79);
806. book(3, 7);
807. book(44, 36);
808. book(60, 100);
809. book(1, 11);
810. book(24, 12);
811. book(14, 73);
812. book(84, 93);
813. book(95, 60);
814. book(24, 66);
815. book(95, 96);
816. book(37, 75);
817. book(98, 15);
818. book(60, 18);
819. book(96, 43);
820. book(56, 84);
821. book(87, 47);
822. book(79, 9);
823. book(97, 50);
824. book(62, 63);
825. book(93, 58);
826. book(18, 34);
827. book(68, 76);
828. book(82, 40);
829. book(86, 40);
830. book(100, 86);
831. book(77, 15);
832. book(75, 98);
833. book(26, 44);
834. book(98, 76);
835. book(26, 68);
836. book(9, 39);
837. book(90, 34);
838. book(7, 50);
839. book(56, 37);
840. book(28, 39);
841. book(7, 60);
842. book(90, 33);
843. book(21, 29);
844. book(55, 30);
845. book(82, 47);
846. book(27, 50);
847. book(89, 47);
848. book(87, 100);
849. book(93, 61);
850. book(49, 94);
851. book(85, 16);
852. book(81, 45);
853. book(34, 36);
854. book(94, 34);
855. book(90, 71);
856. book(95, 0);
857. book(8, 83);
858. book(32, 10);
859. book(75, 6);
860. book(60, 52);
861. book(3, 70);
862. book(64, 26);
863. book(53, 0);
864. book(34, 31);
865. book(18, 75);
866. book(92, 73);
867. book(95, 70);
868. book(8, 37);
869. book(35, 92);
870. book(49, 82);
871. book(11, 8);
872. book(67, 65);
873. book(39, 10);
874. book(29, 37);
875. book(71, 23);
876. book(46, 23);
877. book(22, 69);
878. book(73, 90);
879. book(14, 59);
880. book(14, 54);
881. book(5, 94);
882. book(81, 21);
883. book(79, 47);
884. book(89, 38);
885. book(47, 17);
886. book(12, 21);
887. book(73, 5);
888. book(35, 85);
889. book(37, 34);
890. book(23, 61);
891. book(0, 60);
892. book(10, 99);
893. book(17, 82);
894. book(62, 33);
895. book(44, 23);
896. book(10, 44);
897. book(47, 6);
898. book(21, 35);
899. book(39, 82);
900. book(64, 69);
901. book(33, 42);
902. book(60, 31);
903. book(91, 50);
904. book(60, 95);
905. book(4, 4);
906. book(41, 53);
907. book(86, 23);
908. book(13, 57);
909. book(67, 75);
910. book(75, 62);
911. book(40, 38);
912. book(47, 6);
913. book(19, 29);
914. book(83, 31);
915. book(38, 74);
916. book(33, 69);
917. book(29, 55);
918. book(57, 10);
919. book(97, 28);
920. book(30, 36);
921. book(8, 78);
922. book(96, 71);
923. book(79, 7);
924. book(48, 43);
925. book(29, 87);
926. book(27, 29);
927. book(43, 31);
928. book(45, 9);
929. book(94, 36);
930. book(15, 1);
931. book(7, 9);
932. book(70, 57);
933. book(21, 62);
934. book(74, 67);
935. book(92, 10);
936. book(49, 46);
937. book(19, 41);
938. book(47, 10);
939. book(75, 26);
940. book(58, 8);
941. book(88, 6);
942. book(52, 67);
943. book(88, 28);
944. book(68, 60);
945. book(77, 57);
946. book(22, 88);
947. book(19, 4);
948. book(21, 61);
949. book(75, 60);
950. book(98, 26);
951. book(57, 17);
952. book(87, 18);
953. book(22, 34);
954. book(38, 74);
955. book(17, 19);
956. book(70, 9);
957. book(53, 99);
958. book(64, 33);
959. book(14, 45);
960. book(26, 50);
961. book(27, 38);
962. book(77, 23);
963. book(55, 79);
964. book(36, 15);
965. book(14, 14);
966. book(36, 45);
967. book(60, 73);
968. book(40, 87);
969. book(89, 4);
970. book(94, 99);
971. book(71, 29);
972. book(13, 36);
973. book(44, 7);
974. book(52, 64);
975. book(56, 100);
976. book(41, 3);
977. book(83, 73);
978. book(44, 65);
979. book(87, 12);
980. book(46, 88);
981. book(93, 45);
982. book(64, 37);
983. book(79, 67);
984. book(89, 32);
985. book(39, 75);
986. book(99, 16);
987. book(53, 28);
988. book(100, 33);
989. book(23, 12);
990. book(56, 23);
991. book(14, 21);
992. book(89, 85);
993. book(66, 10);
994. book(82, 90);
995. book(38, 62);
996. book(45, 50);
997. book(18, 24);
998. book(88, 31);
999. book(72, 37);
